"EduSecondFemale","LabParticipFemale","EduExpYrs","LifeExpBirth","GNI","MatMortRat","AdolBirthRate","ParlPercRepres"
28,42.8,11.1,73.1,3938,120,84,25.8
34,66.7,12.6,69.5,7176,120,40.9,8.3
29.5,13.5,12.3,69.6,2728,49,41.6,12.4
39.7,68.5,11.1,62.3,6012,410,126.7,11.5
25.8,73.1,13.5,60.1,3734,280,125.4,12.7
45.2,67.3,11.5,61.4,3852,380,58.4,10.9
34.1,57.4,10,71.6,3191,170,80.6,20
9.9,78.8,10.9,68.4,2949,170,44.3,19
25.3,62.2,11,61.6,2762,400,93.6,20.8
17.7,79.9,12.4,69.6,2311,190,73.7,29.5
19.3,24.6,7.8,66.2,4866,170,27.3,19.7
22.9,75.2,8.6,65.9,4608,200,12.1,4.7
21.9,43.9,11.3,49,5542,310,72,14.7
5.6,88.1,9.2,65,2411,410,122.7,36
21.3,63.8,10.4,55.5,2803,590,115.8,27.1
48.7,83.2,10.9,57.5,1615,470,60.3,35.1
8.3,28.7,8.5,63.1,3560,320,73.3,22.2
7.6,70.5,9.9,62.6,2463,220,62.1,2.7
8.6,25.4,9.2,63.8,3519,270,47,0.7
21.9,59,11.1,49.8,3306,490,89.4,26.8
16.1,80.6,12.2,59.7,1228,450,91.5,17.6
22.4,60.9,8.7,62.8,1669,380,42,3.5
8,86.4,10.3,64.2,1458,320,33.6,57.5
22.9,75.8,9.8,58.5,1613,360,126.6,35
11.3,67.6,11.1,59.6,1767,340,90.2,8.4
12.1,31.3,7,63.5,3809,360,84,23.8
7.2,66,7.9,66.5,2188,320,94.4,42.7
5.9,15.8,9.3,60.4,1885,400,86.8,27.6
14,52.4,8.9,51.5,3171,720,130.3,9.2
11.1,84.6,10.8,62.8,747,510,144.8,16.7
7.8,78.2,8.5,64.1,1428,420,78.4,25.5
17.4,72.2,8.8,60.2,1507,430,115.8,9.4
12.8,70.7,9.8,58.7,680,730,135.3,8.2
15.4,58.2,9.5,60.9,805,640,117.4,10.7
7.7,50.8,8.4,58,1583,550,175.6,9.5
1.4,85.5,9.3,55.1,1123,480,137.8,39.6
10,65.7,8.6,50.9,1780,1100,100.7,12.4
0.9,77.1,7.8,58.7,1591,400,115.4,13.3
5.3,83.3,10.1,56.7,758,740,30.3,34.9
1.7,64,7.4,51.6,2085,980,152,14.9
10.1,72.6,7.2,50.7,581,880,98.3,12.5
2.4,40,5.4,61.4,908,630,204.8,13.3
